SSI,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
a. Lỗ bán các tài sản tài chính,124,206,87,121,288
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,365,1,21,19,59
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),1,1,1,1,1
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,3,18,5,30,35
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),0,,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",0,,,,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),0,,0,13,1
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",0,0,5,-5,-10
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,0,,,,
2.6. Chi phí hoạt động tự doanh,5,6,5,7,7
2.7. Chi phí môi giới chứng khoán,123,153,147,203,257
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",1,1,3,2,9
2.9. Chi phí tư vấn,12,16,8,23,6
"2.10. Chi phí hoạt động đấu giá, ủy thác",0,,,,
2.11. Chi phí lưu ký chứng khoán,7,8,8,10,9
2.12. Chi phí khác,33,25,31,47,32
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",0,,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,0,,,,
- Chi phí dự phòng chứng khoán,0,,,,
Cộng chi phí hoạt động (21->33),675,434,321,472,696
Lợi nhuận gộp của hoạt động kinh doanh,270,893,598,703,810
III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,
3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,1,22,2,4,3
"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",4,3,2,3,4
"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",0,0,,14,
3.4. Doanh thu khác về đầu tư,32,37,62,22,5
Cộng doanh thu hoạt động tài chính (41->44),37,63,66,43,12
IV. CHÍ PHÍ TÀI CHÍNH,,,,,
4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thưc hiện,11,1,1,0,14
4.2. Chi phí lãi vay,223,207,184,216,222
"4.3. Lỗ bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",0,,,,
4.4. Chi phí đầu tư khác,25,56,10,4,7
Cộng chi phí tài chính (51->54),259,264,194,220,243
V. CHI PHÍ BÁN HÀNG,0,,,,
VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,42,42,51,49,50
VII. KẾT QUẢ HOẠT ĐỘNG,6,651,419,476,529
VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,
8.1. Thu nhập khác,2,1,2,1,1
8.2. Chi phí khác,0,0,0,0,0
Cộng kết quả hoạt động khác,2,1,2,1,1
"Lãi/lỗ từ công ty liên doanh, liên kết",0,,,,
IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,8,652,421,477,530
9.1. Lợi nhuận đã thực hiện,300,216,,410,571
9.2. Lợi nhuận chưa thực hiện,-292,436,,67,-41
X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,-1,129,77,96,106
10.1. Chi phí thuế TNDN hiện hành,0,123,78,66,108
10.2. Chi phí thuế TNDN hoãn lại,-1,6,-1,30,-2
XI.  LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,9,522,344,381,424
11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,10,523,344,381,424
"11.2. Lợi nhuận sau thuế trích các Quỹ (Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",0,,,,
11.3.  Lợi nhuận thuần phân bổ cho  lợi ích cổ đông không kiểm soát,-1,0,0,0,0
XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,0,,,,
12.1. Lãi/(Lỗ) từ đánh giá lại các khoản đầu tư giữ đến ngày đáo hạn,-239,15,-51,12,1
12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,0,,,,
"12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con, đầu tư liên kết, liên doanh",0,,,,
12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,0,,,,
12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,0,,,,
"12.6. Lãi, lỗ từ các khoản đầu tư vào công ty con. Công ty liên kết, liên doanh chưa chia",0,,,,
"12.7. Lãi, lỗ đánh giá công cụ phái sinh",0,,,,
"12.8. Lãi, lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý",0,,,,
Tổng thu nhập toàn diện,-239,15,-51,12,1
Thu nhập toàn diện phân bổ cho chủ sở hữu,0,,,,
Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát,0,,,,
XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,,,,,
13.1.Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),0,,,,
13.2.Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),0,,,,
