SSI,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,,,,,47
c. Chi phí giao dịch mua các tài sản tài chính (FVTPL),,,,,0
d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,,,7
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),,,,,
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",,,,,
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,,,
2.6. Chi phí hoạt động tự doanh,,,,,1
2.7. Chi phí môi giới chứng khoán,,,,,64
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",,,,,
2.9. Chi phí tư vấn,,,,,10
"2.10. Chi phí hoạt động đấu giá, ủy thác",,,,,
2.11. Chi phí lưu ký chứng khoán,,,,,3
2.12. Chi phí khác,,,,,13
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",,,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,115,174,148,175,
- Chi phí dự phòng chứng khoán,25,-233,-31,-58,
Cộng chi phí hoạt động (21->33),139,-59,117,118,145
Lợi nhuận gộp của hoạt động kinh doanh,142,386,233,256,222
III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,
3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,,,,0
"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",,,,,5
"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,,,,
3.4. Doanh thu khác về đầu tư,,,,,
Cộng doanh thu hoạt động tài chính (41->44),,,,,5
IV. CHÍ PHÍ TÀI CHÍNH,,,,,
4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thưc hiện,,,,,0
4.2. Chi phí lãi vay,,,,,57
"4.3. Lỗ bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,,,,
4.4. Chi phí đầu tư khác,,,,,
Cộng chi phí tài chính (51->54),,,,,57
V. CHI PHÍ BÁN HÀNG,,,,,
VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,3,3,3,4,29
VII. KẾT QUẢ HOẠT ĐỘNG,139,382,230,252,142
VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,
8.1. Thu nhập khác,0,3,0,1,1
8.2. Chi phí khác,0,0,0,0,0
Cộng kết quả hoạt động khác,0,3,0,1,1
"Lãi/lỗ từ công ty liên doanh, liên kết",14,30,-45,56,27
IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,154,416,186,309,169
9.1. Lợi nhuận đã thực hiện,,,,,204
9.2. Lợi nhuận chưa thực hiện,,,,,-36
X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,,,,,27
10.1. Chi phí thuế TNDN hiện hành,47,22,54,79,29
10.2. Chi phí thuế TNDN hoãn lại,-5,57,-10,-31,-2
XI.  LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,111,336,142,261,141
11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,111,337,142,261,142
"11.2. Lợi nhuận sau thuế trích các Quỹ (Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",,,,,
11.3.  Lợi nhuận thuần phân bổ cho  lợi ích cổ đông không kiểm soát,0,0,0,-1,0
XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,,,,,
12.1. Lãi/(Lỗ) từ đánh giá lại các khoản đầu tư giữ đến ngày đáo hạn,,,,,
12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,,,,,0
"12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con, đầu tư liên kết, liên doanh",,,,,
12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,,,,,
12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,,,,,
"12.6. Lãi, lỗ từ các khoản đầu tư vào công ty con. Công ty liên kết, liên doanh chưa chia",,,,,
"12.7. Lãi, lỗ đánh giá công cụ phái sinh",,,,,
"12.8. Lãi, lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý",,,,,
Tổng thu nhập toàn diện,,,,,0
Thu nhập toàn diện phân bổ cho chủ sở hữu,,,,,
Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát,,,,,
XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,,,,,
13.1.Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),,,,0,
13.2.Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),,,,,
