SSI,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
12. Các khoản phải thu khác,130,395,139,127,122
13. Dự phòng suy giảm giá trị các khoản phải thu,,,,,
Dự phòng các khoản phải thu ngắn hạn khó đòi,0,0,0,0,0
Phải thu khách hàng,797,"1,065","1,383",701,494
Hàng tồn kho,0,0,0,0,0
Hàng tồn kho (chi tiết),0,0,0,0,0
Dự phòng giảm giá hàng tồn kho,0,0,0,0,0
II. Tài sản ngắn hạn khác,11,6,7,17,17
1. Tạm ứng,,,,,
"2. Vật tư văn phòng, công cụ, dụng cụ",,,,,
3. Chi phí trả trước ngắn hạn,5,4,5,14,13
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",,,,,
8. Thuế GTGT còn được khấu trừ,0,0,0,0,1
Thuế và các khoản khác phải thu của nhà nước,0,0,0,0,0
Giao dịch mua bán lại trái phiếu Chính phủ (TS),0,0,0,0,0
5. Tài sản ngắn hạn khác,6,2,2,2,4
6. Dự phòng suy giảm giá trị tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"2,244","2,261","2,108","2,427","2,489"
I. Tài sản tài chính dài hạn,,,,,
1. Các khoản phải thu dài hạn,0,0,0,0,0
1.1. Phải thu dài hạn của khách hàng,0,0,0,0,0
1.2. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
1.3.  Phải thu dài hạn nội bộ,0,0,0,0,0
1.4. Phải thu dài hạn khác,0,0,0,0,0
1.5. Dự phòng phải thu dài hạn khó đòi,0,0,0,0,0
2. Các khoản đầu tư,"2,039","2,047","1,887","2,160","2,140"
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,,,,,
2.2. Đầu tư vào công ty con,0,0,0,0,0
"2.3 Đầu tư vào công ty liên kết, liên doanh",457,450,423,567,515
2.4 Đầu tư chứng khoán dài hạn,"1,499","1,547","1,417","1,440","1,537"
- Chứng khoán sẵn sàng để bán,"1,499","1,547","1,417","1,440","1,537"
- Chứng khoán nắm giữ đến ngày đáo hạn,0,0,0,0,0
2.5 Đầu tư dài hạn khác,126,126,126,226,226
2.6 Dự phòng giảm giá đầu tư dài hạn,-43,-77,-80,-74,-139
II. Tài sản cố định,166,169,177,180,296
1. Tài sản cố định hữu hình,35,37,40,40,44
- Nguyên giá,73,79,85,90,97
- Giá trị hao mòn lũy kế,-39,-42,-46,-49,-53
- Đánh giá TSCĐHH theo giá trị hợp lý,,,,,
2. Tài sản cố định thuê tài chính,0,0,0,0,118
- Nguyên giá,0,0,0,0,118
- Giá trị hao mòn lũy kế,0,0,0,0,0
- Đánh giá TSCĐTTC theo giá trị hợp lý,,,,,
3. Tài sản cố định vô hình,130,133,136,129,133
- Nguyên giá,141,145,150,146,152
- Giá trị hao mòn lũy kế,-11,-13,-15,-17,-19
- Đánh giá TSCĐVH theo giá trị hợp lý,,,,,
III. Bất động sản đầu tư,0,0,0,34,0
- Nguyên giá,0,0,0,34,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
- Đánh giá BĐSĐT theo giá trị hợp lý,,,,,
IV. Chi phí xây dựng cơ bản dở dang,1,0,1,11,1
V. Tài sản dài hạn khác,39,44,44,53,53
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",,,,,
2. Chi phí trả trước dài hạn,23,27,26,36,33
3. Tài sản thuế thu nhập hoãn lại,0,0,0,0,0
4. Tiền nộp Quỹ hỗ trợ thanh toán,8,9,11,10,13
5. Tài sản dài hạn khác,7,7,7,7,7
6. Lợi thế thương mại,0,0,0,0,0
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"9,193","8,884","9,041","8,793","6,608"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"3,759","3,675","3,617","3,262","1,254"
I. Nợ ngắn hạn,"3,742","3,462","3,458","3,120","1,112"
1. Vay và nợ thuê tài chính ngắn hạn,"2,000","2,000","2,000","2,000",0
1.1. Vay ngắn hạn,,,,,
1.2 Nợ thuê tài sản tài chính ngắn hạn,,,,,
2. Vay tài sản tài chính ngắn hạn,,,,,
3. Trái phiếu chuyển đổi ngắn hạn,,,,,
4. Trái phiếu phát hành ngắn hạn,,,,,
5. Vay quỹ hỗ trợ thanh toán,,,,,
6. Phải trả hoạt động giao dịch chứng khoán,"1,292","1,122",944,836,795
7. Phải trả về lỗi giao dịch các tài sản tài chính,,,,,
8. Phải trả người bán ngắn hạn,1,1,4,6,5
9. Người mua trả tiền trước ngắn hạn,3,5,50,56,75
10. Thuế và các khoản phải nộp Nhà nước,104,72,71,28,10
11. Phải trả người lao động,0,0,2,0,0
12. Các khoản trích nộp phúc lợi nhân viên,,,,,
13. Chi phí phải trả ngắn hạn,13,35,56,69,4
14. Phải trả nội bộ ngắn hạn,0,0,0,0,0
15. Doanh thu chưa thực hiện ngắn hạn,0,0,0,0,0
"16. Nhận ký quỹ, ký cược ngắn hạn",,,,,
"17. Các khoản phải trả, phải nộp khác ngắn hạn",296,83,236,49,174
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",5,43,9,4,4
Phải trả tổ chức phát hành chứng khoán,2,3,9,2,2
18. Dự phòng phải trả ngắn hạn,0,0,0,0,0
Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
19. Quỹ khen thưởng phúc lợi,26,100,77,69,43
II. Nợ dài hạn,17,213,159,142,142
1. Vay và nợ thuê tài chính dài hạn,0,0,0,0,0
1.1. Vay dài hạn,,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,,,,,
2. Vay tài sản tài chính dài hạn,,,,,
3. Trái phiếu chuyển đổi dài hạn,,,,,
4. Trái phiếu phát hành dài hạn,,,,,
5. Phải trả người bán dài hạn,0,0,0,0,0
6. Người mua trả tiền trước dài hạn,,,,,
7. Chi phí phải trả dài hạn,,,,,
8. Phải trả nội bộ dài hạn,0,0,0,0,0
9. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
"10. Nhận ký quỹ, ký cược dài hạn",,,,,
"11. Phải trả, phải nộp khác dài hạn",13,13,13,13,13
Vốn nhận ủy thác đầu tư dài hạn,0,196,140,125,124
Dự phòng trợ cấp mất việc làm,4,4,4,4,4
12. Dự phòng phải trả dài hạn,0,0,0,0,0
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,0,0,0,0,0
14. Thuế thu nhập hoãn lại phải trả,0,0,1,1,1
15. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
B. VỐN CHỦ SỞ HỮU (400=410+420),"5,435","5,209","5,351","5,458","5,281"
I. Vốn chủ sở hữu,"5,435","5,209","5,351","5,458","5,281"
1. Vốn đầu tư của chủ sở hữu,,,,,
1.1. Vốn góp của chủ sở hữu,"3,511","3,511","3,511","3,511","3,511"
a. Cổ phiếu phổ thông,,,,,
b. Cổ phiếu ưu đãi,,,,,
1.2. Thặng dư vốn cổ phần,341,341,341,341,341
1.3. Quyền chọn chuyển đổi trái phiếu,,,,,
1.4. Vốn khác của chủ sở hữu,122,0,0,0,0
1.5. Cổ phiếu quỹ,0,0,0,-12,-89
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,0,0,0,0,0
3. Chênh lệch tỷ giá hối đoái,0,0,0,0,0
4. Quỹ dự trữ điều lệ,,,,,
Quỹ đầu tư phát triển,0,0,0,0,0
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,140,221,221,221,221
6. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,0
7. Lợi nhuận sau thuế chưa phân phối,"1,320","1,137","1,279","1,398","1,297"
7.1. Lợi nhuận đã thực hiện,,,,,
7.2. Lợi nhuận chưa thực hiện,,,,,
Nguồn vốn đầu tư XDCB,0,0,0,0,0
Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
8. Lợi ích cổ đông không nắm quyền kiểm soát,0,0,73,73,73
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"9,193","8,884","9,041","8,793","6,608"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,,
