SSI,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
2.1. Các khoản đầu tư nắm giữ đến ngày đáo hạn,,,,,
2.2. Đầu tư vào công ty con,0,0,0,0,0
"2.3 Đầu tư vào công ty liên kết, liên doanh",509,621,"1,062","1,249","1,413"
2.4 Đầu tư chứng khoán dài hạn,"1,482","1,296","1,129",981,"1,026"
- Chứng khoán sẵn sàng để bán,"1,482","1,296","1,129",981,"1,026"
- Chứng khoán nắm giữ đến ngày đáo hạn,0,0,0,0,0
2.5 Đầu tư dài hạn khác,226,226,750,750,549
2.6 Dự phòng giảm giá đầu tư dài hạn,-204,-169,-168,-105,-171
II. Tài sản cố định,363,169,165,158,152
1. Tài sản cố định hữu hình,41,38,36,31,27
- Nguyên giá,96,97,98,94,93
- Giá trị hao mòn lũy kế,-55,-59,-62,-63,-66
- Đánh giá TSCĐHH theo giá trị hợp lý,,,,,
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
- Đánh giá TSCĐTTC theo giá trị hợp lý,,,,,
3. Tài sản cố định vô hình,320,130,129,126,124
- Nguyên giá,342,153,154,155,155
- Giá trị hao mòn lũy kế,-21,-23,-26,-28,-31
- Đánh giá TSCĐVH theo giá trị hợp lý,,,,,
III. Bất động sản đầu tư,0,282,275,273,270
- Nguyên giá,0,282,282,282,282
- Giá trị hao mòn lũy kế,0,0,-7,-10,-12
- Đánh giá BĐSĐT theo giá trị hợp lý,,,,,
IV. Chi phí xây dựng cơ bản dở dang,1,1,1,1,1
V. Tài sản dài hạn khác,50,50,48,46,81
"1. Cầm cố, thế chấp, ký quỹ, ký cược dài hạn",,,,,
2. Chi phí trả trước dài hạn,25,25,20,17,14
3. Tài sản thuế thu nhập hoãn lại,0,6,8,8,46
4. Tiền nộp Quỹ hỗ trợ thanh toán,13,13,13,15,15
5. Tài sản dài hạn khác,12,7,6,6,6
6. Lợi thế thương mại,0,28,22,92,0
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"6,557","6,855","6,508","7,350","8,229"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=310+340),"1,594","1,809","1,350","2,009","3,160"
I. Nợ ngắn hạn,"1,486","1,701","1,180","1,978","3,142"
1. Vay và nợ thuê tài chính ngắn hạn,30,0,0,0,160
1.1. Vay ngắn hạn,,,,,
1.2 Nợ thuê tài sản tài chính ngắn hạn,,,,,
2. Vay tài sản tài chính ngắn hạn,,,,,
3. Trái phiếu chuyển đổi ngắn hạn,,,,,
4. Trái phiếu phát hành ngắn hạn,,,,,
5. Vay quỹ hỗ trợ thanh toán,,,,,
6. Phải trả hoạt động giao dịch chứng khoán,647,836,578,921,843
7. Phải trả về lỗi giao dịch các tài sản tài chính,,,,,
8. Phải trả người bán ngắn hạn,4,2,3,2,2
9. Người mua trả tiền trước ngắn hạn,75,79,73,155,345
10. Thuế và các khoản phải nộp Nhà nước,7,7,6,40,44
11. Phải trả người lao động,0,0,0,0,0
12. Các khoản trích nộp phúc lợi nhân viên,,,,,
13. Chi phí phải trả ngắn hạn,13,15,6,21,38
14. Phải trả nội bộ ngắn hạn,0,0,0,0,0
15. Doanh thu chưa thực hiện ngắn hạn,0,1,3,1,
"16. Nhận ký quỹ, ký cược ngắn hạn",,,,,
"17. Các khoản phải trả, phải nộp khác ngắn hạn",257,655,417,753,"1,277"
"Phải trả hộ cổ tức, gốc và lãi trái phiếu",358,14,6,5,355
Phải trả tổ chức phát hành chứng khoán,1,1,1,1,1
18. Dự phòng phải trả ngắn hạn,0,0,0,0,0
Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
19. Quỹ khen thưởng phúc lợi,93,92,90,77,77
II. Nợ dài hạn,109,107,170,31,18
1. Vay và nợ thuê tài chính dài hạn,0,0,0,0,0
1.1. Vay dài hạn,,,,,
1.2 Nợ thuê tài sản tài chính dài hạn,,,,,
2. Vay tài sản tài chính dài hạn,,,,,
3. Trái phiếu chuyển đổi dài hạn,,,,,
4. Trái phiếu phát hành dài hạn,,,,,
5. Phải trả người bán dài hạn,0,0,0,0,0
6. Người mua trả tiền trước dài hạn,,,,,
7. Chi phí phải trả dài hạn,,,,,
8. Phải trả nội bộ dài hạn,0,0,0,0,0
9. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
"10. Nhận ký quỹ, ký cược dài hạn",,,,,
"11. Phải trả, phải nộp khác dài hạn",13,0,1,1,1
Vốn nhận ủy thác đầu tư dài hạn,87,94,123,0,0
Dự phòng trợ cấp mất việc làm,3,3,3,3,3
12. Dự phòng phải trả dài hạn,0,0,0,0,0
13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,0,0,0,0,0
14. Thuế thu nhập hoãn lại phải trả,5,10,44,27,14
15. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
B. VỐN CHỦ SỞ HỮU (400=410+420),"4,886","4,969","5,081","5,265","4,987"
I. Vốn chủ sở hữu,"4,886","4,969","5,081","5,265","4,987"
1. Vốn đầu tư của chủ sở hữu,,,,,
1.1. Vốn góp của chủ sở hữu,"3,511","3,511","3,526","3,526","3,526"
a. Cổ phiếu phổ thông,,,,,
b. Cổ phiếu ưu đãi,,,,,
1.2. Thặng dư vốn cổ phần,341,341,341,341,341
1.3. Quyền chọn chuyển đổi trái phiếu,,,,,
1.4. Vốn khác của chủ sở hữu,0,0,0,0,2
1.5. Cổ phiếu quỹ,-89,-89,-89,-89,-89
2. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,0,0,0,0,0
3. Chênh lệch tỷ giá hối đoái,0,0,0,0,0
4. Quỹ dự trữ điều lệ,,,,,
Quỹ đầu tư phát triển,0,0,0,0,0
5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,289,289,289,289,289
6. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,0
7. Lợi nhuận sau thuế chưa phân phối,833,916,"1,012","1,197",917
7.1. Lợi nhuận đã thực hiện,,,,,
7.2. Lợi nhuận chưa thực hiện,,,,,
Nguồn vốn đầu tư XDCB,0,0,0,0,0
Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
8. Lợi ích cổ đông không nắm quyền kiểm soát,77,77,77,77,83
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
TỔNG CỘNG NGUỒN VỐN  (440=300+400),"6,557","6,855","6,508","7,350","8,229"
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,,
