SSI,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",,,,,
2.9. Chi phí tư vấn,,,,,
"2.10. Chi phí hoạt động đấu giá, ủy thác",,,,,
2.11. Chi phí lưu ký chứng khoán,,,,,
2.12. Chi phí khác,,,,,
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",,,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,91,137,125,109,105
- Chi phí dự phòng chứng khoán,39,-16,-61,2,-18
Cộng chi phí hoạt động (21->33),130,121,64,111,86
Lợi nhuận gộp của hoạt động kinh doanh,51,152,102,68,91
III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,
3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,,,,
"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",,,,,
"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,,,,
3.4. Doanh thu khác về đầu tư,,,,,
Cộng doanh thu hoạt động tài chính (41->44),,,,,
IV. CHÍ PHÍ TÀI CHÍNH,,,,,
4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thưc hiện,,,,,
4.2. Chi phí lãi vay,,,,,
"4.3. Lỗ bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,,,,
4.4. Chi phí đầu tư khác,,,,,
Cộng chi phí tài chính (51->54),,,,,
V. CHI PHÍ BÁN HÀNG,,,,,
VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,8,5,2,3,3
VII. KẾT QUẢ HOẠT ĐỘNG,43,147,100,65,88
VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,
8.1. Thu nhập khác,0,0,16,17,19
8.2. Chi phí khác,0,0,,0,0
Cộng kết quả hoạt động khác,0,0,16,17,19
"Lãi/lỗ từ công ty liên doanh, liên kết",17,17,71,29,11
IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,60,165,188,111,119
9.1. Lợi nhuận đã thực hiện,,,,,
9.2. Lợi nhuận chưa thực hiện,,,,,
X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,,,,,
10.1. Chi phí thuế TNDN hiện hành,2,5,37,13,11
10.2. Chi phí thuế TNDN hoãn lại,11,-5,-10,1,13
XI.  LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,47,164,160,96,94
11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,45,165,160,96,94
"11.2. Lợi nhuận sau thuế trích các Quỹ (Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",,,,,
11.3.  Lợi nhuận thuần phân bổ cho  lợi ích cổ đông không kiểm soát,1,0,0,0,0
XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,,,,,
12.1. Lãi/(Lỗ) từ đánh giá lại các khoản đầu tư giữ đến ngày đáo hạn,,,,,
12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,,,,,
"12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con, đầu tư liên kết, liên doanh",,,,,
12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,,,,,
12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,,,,,
"12.6. Lãi, lỗ từ các khoản đầu tư vào công ty con. Công ty liên kết, liên doanh chưa chia",,,,,
"12.7. Lãi, lỗ đánh giá công cụ phái sinh",,,,,
"12.8. Lãi, lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý",,,,,
Tổng thu nhập toàn diện,,,,,
Thu nhập toàn diện phân bổ cho chủ sở hữu,,,,,
Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát,,,,,
XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,,,,,
13.1.Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),0,,,,
13.2.Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),,,,,
