SSI,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
2.2. Lỗ các khoản đầu tư năm giữ đến ngày đáo hạn (HTM),,0,,,
"2.3. Chi phí lãi vay, lỗ từ các khoản cho vay và phải thu",,,,,
2.4 Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),0,,,,0
"Chi phí dự phòng TSTC, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm TSTC và chi phí đi vay của các khoản cho vay",,,,,11
2.5. Lỗ từ các tài sản tài chính phái sinh phòng ngừa rủi ro,,,,,
2.6. Chi phí hoạt động tự doanh,2,1,2,3,4
2.7. Chi phí môi giới chứng khoán,165,131,135,129,160
"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng  khoán",0,0,1,2,12
2.9. Chi phí tư vấn,31,5,11,11,12
"2.10. Chi phí hoạt động đấu giá, ủy thác",,,,,
2.11. Chi phí lưu ký chứng khoán,6,7,8,7,6
2.12. Chi phí khác,51,30,32,30,37
"Trong đó: Chi phí sửa lỗi giao dịch chứng khoán, lỗi khác",,,,,
- Chi phí trực tiếp hoạt động kinh doanh chứng khoán,,,,,
- Chi phí dự phòng chứng khoán,,,,,
Cộng chi phí hoạt động (21->33),476,253,255,275,388
Lợi nhuận gộp của hoạt động kinh doanh,402,456,516,576,515
III. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,,
3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,0,0,0,0,0
"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",4,5,5,4,7
"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",52,,,,
3.4. Doanh thu khác về đầu tư,25,6,4,15,20
Cộng doanh thu hoạt động tài chính (41->44),80,11,9,20,27
IV. CHÍ PHÍ TÀI CHÍNH,,,,,
4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thưc hiện,1,4,5,6,5
4.2. Chi phí lãi vay,154,165,204,213,222
"4.3. Lỗ bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",,,,,
4.4. Chi phí đầu tư khác,3,1,3,3,8
Cộng chi phí tài chính (51->54),158,170,212,221,236
V. CHI PHÍ BÁN HÀNG,,,,,
VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,58,52,50,45,46
VII. KẾT QUẢ HOẠT ĐỘNG,267,245,263,330,261
VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,
8.1. Thu nhập khác,1,2,1,2,2
8.2. Chi phí khác,0,0,0,0,0
Cộng kết quả hoạt động khác,1,2,1,2,2
"Lãi/lỗ từ công ty liên doanh, liên kết",,,,,
IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,268,246,264,332,263
9.1. Lợi nhuận đã thực hiện,438,222,276,279,319
9.2. Lợi nhuận chưa thực hiện,-170,24,-12,53,-56
X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP,60,48,44,63,43
10.1. Chi phí thuế TNDN hiện hành,46,49,47,53,30
10.2. Chi phí thuế TNDN hoãn lại,14,-1,-3,11,13
XI.  LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,208,198,220,269,220
11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,208,199,220,269,221
"11.2. Lợi nhuận sau thuế trích các Quỹ (Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",,,,,
11.3.  Lợi nhuận thuần phân bổ cho  lợi ích cổ đông không kiểm soát,0,0,0,0,-1
XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,,,,,
12.1. Lãi/(Lỗ) từ đánh giá lại các khoản đầu tư giữ đến ngày đáo hạn,,,,-16,-21
12.2.Lãi/(Lỗ) từ đánh giá lại các tài sản tài chính sẵn sàng để bán,-152,29,-11,,
"12.3. Lãi (lỗ) toàn diện khác được chia từ hoạt động đầu tư vào công ty con, đầu tư liên kết, liên doanh",,,,,
12.4. Lãi/(Lỗ) từ đánh giá lại các công cụ tài chính phái sinh,,,,,
12.5. Lãi/(lỗ) chênh lệch tỷ giá của hoạt động tại nước ngoài,,,,,
"12.6. Lãi, lỗ từ các khoản đầu tư vào công ty con. Công ty liên kết, liên doanh chưa chia",,,,,
"12.7. Lãi, lỗ đánh giá công cụ phái sinh",,,,,
"12.8. Lãi, lỗ đánh giá lại tài sản cố định theo mô hình giá trị hợp lý",,,,,
Tổng thu nhập toàn diện,-152,29,-11,-16,-21
Thu nhập toàn diện phân bổ cho chủ sở hữu,,,,,
Thu nhập toàn diện phân bổ cho cổ đông không nắm quyền kiểm soát,,,,,
XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,,,,,
13.1.Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),,,,,
13.2.Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),,,,,
