BVH,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
- Giá trị hao mòn lũy kế,-993,"-1,016","-1,037","-1,062","-1,085"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế,0,0,0,0,0
3. Tài sản cố định vô hình,821,813,822,811,805
- Nguyên giá,"1,103","1,103","1,122","1,122","1,124"
- Giá trị hao mòn lũy kế,-282,-291,-300,-311,-319
III. Bất động sản đầu tư,23,23,23,23,45
- Nguyên giá,23,23,23,23,45
- Giá trị hao mòn lũy kế,0,0,0,0,0
IV. Tài sản dở dang dài hạn,215,235,223,215,440
1. Chi phí xây dựng cơ bản dở dang,215,235,223,215,440
V. Đầu tư tài chính dài hạn,"37,858","39,656","41,422","42,169","43,276"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên kết, liên doanh","2,363","2,488","2,806","2,813","2,742"
3. Đầu tư góp vốn vào đơn vị khác,828,603,604,696,369
4. Dự phòng đầu tư tài chính dài hạn,-61,-52,-33,-41,-40
5. Đầu tư nắm giữ đến ngày đáo hạn,"34,729","36,618","38,045","38,701","40,206"
6. Đầu tư dài hạn khác,0,0,0,0,0
VI. Tài sản dài hạn khác,112,148,172,416,414
1. Chi phí trả trước dài hạn,67,80,116,356,349
2. Tài sản thuế thu nhập hoãn lại,39,46,51,54,60
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",0,0,0,0,0
4. Tài sản dài hạn khác,6,22,6,6,6
5. Lợi thế thương mại,0,0,0,0,0
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
VIII. Tài sản tài khoản riêng,,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),"64,364","67,424","73,079","75,108","82,887"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ (300=210+330),"51,049","53,784","59,164","61,039","68,234"
I. Nợ ngắn hạn,"50,958","53,685","59,056","60,924","68,110"
1. Vay và nợ ngắn hạn,0,1,161,96,2
2. Phải trả người bán ngắn hạn,"1,271","1,289","1,616","1,493","1,730"
2.1. Phải trả về hợp đồng bảo hiểm,"1,101","1,136","1,519","1,437","1,538"
2.2. Phải trả khác cho người bán,170,153,97,56,192
3. Người mua trả tiền trước ngắn hạn,14,19,10,2,15
4. Thuế và các khoản phải nộp Nhà nước,134,119,72,109,182
5. Phải trả công nhân viên,427,619,776,323,619
6. Chi phí phải trả ngắn hạn,95,86,62,126,150
7. Phải trả nội bộ ngắn hạn,0,0,0,0,0
8. Phải trả ngắn hạn khác,972,436,496,585,501
9. Doanh thu hoa hồng chưa được hưởng,149,148,139,131,133
10. Dự phòng phải trả ngắn hạn,67,0,0,0,0
11. Quỹ khen thưởng phúc lợi,153,120,102,51,109
12. Giao dịch mua bán lại trái phiếu Chính phủ,"9,539","10,327","12,913","12,578","17,073"
13. Dự phòng nghiệp vụ,"38,094","40,467","42,625","45,335","47,547"
13.1. Dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,"3,142","3,398","3,538","3,726","3,781"
13.2. Dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,"1,434","1,554","1,518","1,609","1,672"
13.3. Dự phòng dao động lớn,208,183,150,205,233
13.4 Dự phòng toán học,"31,865","33,870","35,967","38,268","40,336"
13.5. Dự phòng chia lãi,"1,382","1,397","1,386","1,460","1,451"
13.6. Dự phòng bảo đảm cân đối,63,65,67,67,73
14. Doanh thu chưa thực hiện ngắn hạn,43,53,83,94,50
15. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
II. Nợ dài hạn,91,99,108,115,124
1. Phải trả người bán dài hạn,0,0,0,0,0
2. Phải trả nội bộ dài hạn,0,0,0,0,0
3. Phải trả dài hạn khác,85,92,100,106,115
4. Vay và nợ thuê tài chính dài hạn,1,2,3,3,4
5. Thuế thu nhập hoãn lại phải trả,5,5,5,6,5
6. Dự phòng trợ cấp mất việc làm,0,0,0,0,0
7. Dự phòng phải trả dài hạn,0,0,0,0,0
8. Doanh thu chưa thực hiện dài hạn,0,0,0,0,0
9. Quỹ phát triển khoa học và công nghệ,0,0,0,0,0
III. Công nợ tài khoản riêng,,,,,
B. VỐN CHỦ SỞ HỮU (400=410+430),"13,315","13,641","13,914","14,069","14,653"
I. Vốn chủ sở hữu,"13,315","13,641","13,914","14,069","14,653"
1. Vốn góp của chủ sở hữu,"6,805","6,805","6,805","6,805","6,805"
- Cổ phiếu phổ thông có quyền biểu quyết,"6,805","6,805","6,805","6,805","6,805"
- Cổ phiếu ưu đãi,0,0,0,0,0
2. Thặng dư vốn cổ phần,"3,184","3,184","3,184","3,184","3,184"
3. Vốn khác của chủ sở hữu,0,0,0,0,0
4. Cổ phiếu quỹ,0,0,0,0,0
5. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
6. Chênh lệch tỷ giá hối đoái,15,15,15,15,15
7. Quỹ đầu tư phát triển,294,295,301,302,456
8. Quỹ dự phòng tài chính,0,0,0,0,0
9. Quỹ dự trữ bắt buộc,320,316,329,347,376
10. Quỹ khác thuộc vốn chủ sở hữu,104,104,104,104,104
11. Lợi nhuận sau thuế chưa phân phối,"1,955","2,275","2,519","2,643","3,035"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"1,219","1,219","1,219","2,288","2,288"
- LNST chưa phân phối kỳ này,736,"1,056","1,300",354,747
12. Lợi ích cổ đông không kiểm soát,638,646,658,669,679
13. Nguồn vốn đầu tư XDCB,0,0,0,0,0
14. Quỹ hỗ trợ sắp xếp doanh nghiệp,0,0,0,0,0
II. Nguồn kinh phí và quỹ khác,0,0,0,0,0
1. Nguồn kinh phí,0,0,0,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,0,0,0,0,0
C. LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,0,0,0,0,0
TỔNG CỘNG NGUỒN VỐN (440=300+400+500),"64,364","67,424","73,079","75,108","82,887"
