BID,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
TỔNG CỘNG TÀI SẢN,"1,642,499","1,686,678","1,761,939","1,847,704","1,979,416"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"16,532","15,995","25,340","53,363","84,297"
II. Tiền gửi và vay các TCTD khác,"102,454","111,857","98,004","128,450","208,128"
1. Tiền gửi của các TCTD khác,"59,828","68,506","58,950","88,913","163,092"
2. Vay các TCTD khác,"42,627","43,351","39,054","39,537","45,036"
III. Tiền gửi của khách hàng,"1,293,997","1,309,953","1,380,402","1,396,301","1,406,297"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,15,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","12,602","13,719","14,350","14,230","14,192"
VI. Phát hành giấy tờ có giá,"97,819","114,975","123,682","127,868","134,647"
VII. Các khoản nợ khác,"34,490","34,162","33,795","37,655","37,852"
"1. Các khoản lãi, phí phải trả","19,883","20,857","21,527","23,108","22,530"
2. Thuế TNDN hoãn lại phải trả,114,114,115,114,113
3. Các khoản phải trả và công nợ khác,"14,492","13,191","12,153","14,433","15,209"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"1,557,894","1,600,660","1,675,572","1,757,867","1,885,429"
VIII. Vốn và các quỹ,"84,605","86,018","86,367","89,838","93,988"
1. Vốn của TCTD,"54,780","54,780","65,145","65,145","65,145"
a. Vốn điều lệ,"40,220","40,220","50,585","50,585","50,585"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,"14,292","14,292","14,292","14,292","14,292"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,268,268,268,268,268
2. Quỹ của TCTD,"8,109","8,113","8,136","9,696","9,745"
3. Chênh lệch tỷ giá hối đoái,-8,-198,-369,-472,-270
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"18,538","20,131","10,269","12,263","16,393"
6. Lợi ích cổ đông không kiểm soát,"3,185","3,191","3,184","3,206","2,975"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,642,499","1,686,678","1,761,939","1,847,704","1,979,416"
