BID,Q1/2010,Q3/2010,Q3/2011,Q1/2012,Q2/2012
"XI. Tài sản ""Có"" khác","11,667","15,078","10,750","15,182",
1. Các khoản phải thu,"8,947","7,876","3,745","7,907",
"2. Các khoản lãi, phí phải thu","2,340","4,481","4,216","4,683",
3. Tài sản thuế TNDN hoãn lại,0,0,0,,
4. Tài sản Có khác,406,"2,748","2,821","2,651",
- Trong đó: Lợi thế thương mại,6,2,0,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-26,-27,-32,-60,
TỔNG CỘNG TÀI SẢN,"295,196","398,584","419,111","444,454",
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"20,141","26,066","30,410","14,240",
II. Tiền gửi và vay các TCTD khác,"23,382","27,709","31,006","32,798",
1. Tiền gửi của các TCTD khác,"3,167","9,348","12,678","10,087",
2. Vay các TCTD khác,"20,214","18,361","18,328","22,711",
III. Tiền gửi của khách hàng,"190,381","243,633","248,724","282,766",
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,45,0,0,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","21,467","60,787","60,705","66,870",
VI. Phát hành giấy tờ có giá,"8,466","5,326","8,847","8,668",
VII. Các khoản nợ khác,"8,891","10,195","12,112","14,571",
"1. Các khoản lãi, phí phải trả","2,960","5,102","5,146","5,411",
2. Thuế TNDN hoãn lại phải trả,0,0,0,,
3. Các khoản phải trả và công nợ khác,"5,667","4,083","5,871","7,893",
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),263,"1,011","1,095","1,267",
TỔNG NỢ PHẢI TRẢ,"272,773","373,716","391,804","419,912",
VIII. Vốn và các quỹ,"22,423","24,648","27,089","24,337",
1. Vốn của TCTD,"16,009","14,970","16,400","23,042",
a. Vốn điều lệ,"14,093","12,948","14,291","23,012",
b. Vốn đầu tư XDCB,"1,917","1,917","1,911",,
c. Thặng dư vốn cổ phần,0,0,0,30,
d. Cổ phiếu quỹ,0,0,-5,,
e. Cổ phiếu ưu đãi,0,0,0,,
g. Vốn khác,0,105,203,,
2. Quỹ của TCTD,"4,144","6,510","8,819",,
3. Chênh lệch tỷ giá hối đoái,344,349,276,19,
4. Chênh lệch đánh giá lại tài sản,0,0,0,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"1,925","2,819","1,594","1,276",
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,219,218,206,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"295,196","398,584","419,111","444,454",
