BID,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
b. Hao mòn TSCĐ,"-1,100","-1,154","-1,203","-1,257","-1,310"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","21,538","22,158","24,044","24,758","25,486"
1. Các khoản phải thu,"7,448","8,922","9,051","9,529","9,868"
"2. Các khoản lãi, phí phải thu","10,134","9,592","11,203","11,551","11,889"
3. Tài sản thuế TNDN hoãn lại,13,33,36,33,33
4. Tài sản Có khác,"4,093","4,223","4,363","4,253","4,326"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-151,-612,-609,-607,-630
TỔNG CỘNG TÀI SẢN,"1,125,909","1,201,662","1,226,943","1,268,549","1,268,413"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"58,313","77,511","81,335","72,982","84,628"
II. Tiền gửi và vay các TCTD khác,"91,635","91,057","78,920","78,010","74,094"
1. Tiền gửi của các TCTD khác,"27,223","26,369","18,831","19,427","20,483"
2. Vay các TCTD khác,"64,412","64,688","60,089","58,583","53,611"
III. Tiền gửi của khách hàng,"823,073","859,786","910,053","964,543","953,513"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","11,596","11,723","11,727","11,903","11,995"
VI. Phát hành giấy tờ có giá,"69,224","83,738","64,809","57,504","56,208"
VII. Các khoản nợ khác,"25,531","28,861","29,295","30,509","34,255"
"1. Các khoản lãi, phí phải trả","15,441","17,030","18,457","19,891","19,512"
2. Thuế TNDN hoãn lại phải trả,104,95,93,80,80
3. Các khoản phải trả và công nợ khác,"9,986","11,735","10,745","10,538","14,663"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"1,079,373","1,152,676","1,176,139","1,215,451","1,214,693"
VIII. Vốn và các quỹ,"46,536","48,986","50,803","53,097","53,720"
1. Vốn của TCTD,"34,329","34,370","34,370","34,370","34,397"
a. Vốn điều lệ,"34,187","34,187","34,187","34,187","34,187"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,30,30,30,30,30
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,112,152,152,152,179
2. Quỹ của TCTD,"3,552","4,427","4,455","4,596","4,599"
3. Chênh lệch tỷ giá hối đoái,-75,54,74,321,360
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"5,955","7,262","8,931","10,724","11,213"
6. Lợi ích cổ đông không kiểm soát,"2,774","2,872","2,974","3,087","3,152"
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"1,125,909","1,201,662","1,226,943","1,268,549","1,268,413"
