stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ
TPB,Q22024,,,6083.0,-3480.0,945.0,-19.0,-99.0,198.0,-1250.0,-316.0,2061.0,,375.0,1287.0,,-12591.0,-838.0,-2068.0,,1386.0,-10308.0,12170.0,4001.0,6.0,136.0,623.0,,-3761.0,,-130.0,,,,,,,,,-129.0,,,201.0,,,,,201.0,-3690.0,,-7.0,-3697.0
TPB,Q32010,,,333.0,-207.0,2.0,-1.0,20.0,,-41.0,-18.0,87.0,,-126.0,-99.0,,-1302.0,-2.0,-652.0,,293.0,318.0,1104.0,,-4.0,4.0,4.0,-1.0,-377.0,,-11.0,,,,,,,,,-10.0,,,474.0,,,,,474.0,87.0,976.0,-6.0,1057.0
TPB,Q32011,,,523.0,-477.0,-70.0,2.0,284.0,,-54.0,-26.0,182.0,,-2039.0,-1139.0,-641.0,300.0,,1446.0,,282.0,4595.0,-196.0,32.0,-103.0,311.0,747.0,,3776.0,,-4.0,,,,,,,,1.0,-3.0,,,,,,,,,3773.0,6802.0,-5.0,10570.0
TPB,Q32015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPB,Q32016,,,-2241.0,1283.0,-40.0,-32.0,4.0,,571.0,68.0,-387.0,,-640.0,1925.0,-11.0,6982.0,23.0,1272.0,,1010.0,490.0,-7343.0,,-547.0,-68.0,-221.0,,2485.0,,13.0,,,,,,,,,13.0,,,,,,,,,2498.0,-19224.0,,-16726.0
TPB,Q32017,,,1775.0,-894.0,47.0,62.0,9.0,,-431.0,-40.0,528.0,,-50.0,1205.0,,-3604.0,-6.0,-951.0,,-32.0,-4541.0,1832.0,293.0,565.0,-9.0,479.0,,-4292.0,,-7.0,,,,,,,,,-7.0,,,,,,,32.0,32.0,-4268.0,,10.0,-4257.0
TPB,Q32018,,,2163.0,-1076.0,195.0,57.0,-7.0,13.0,-704.0,-30.0,611.0,,405.0,-166.0,4.0,-598.0,,-1083.0,,422.0,3698.0,-5011.0,-675.0,-282.0,91.0,494.0,,-2090.0,,-14.0,,,,,,,,,-14.0,,,,,,,,,-2104.0,-101.0,75.0,-2131.0
TPB,Q32019,,,3057.0,-1284.0,272.0,113.0,-5.0,12.0,-688.0,-30.0,1447.0,,,1595.0,-30.0,-3481.0,-677.0,-1046.0,,-747.0,3392.0,4723.0,-52.0,215.0,,-606.0,,4733.0,,-118.0,,,,,,,,,-118.0,,,,,,,,,4615.0,,,4615.0
TPB,Q32020,,,3225.0,-1403.0,493.0,73.0,-84.0,66.0,-761.0,-221.0,1388.0,,441.0,-4131.0,-13.0,-9419.0,-264.0,61.0,,-40.0,-3353.0,12480.0,334.0,-20.0,,-76.0,,-2612.0,,-109.0,,,,,,,,,-109.0,,,1512.0,,,,-1212.0,300.0,-2421.0,,175.0,-2246.0
TPB,Q32021,,,3948.0,-1539.0,358.0,835.0,78.0,23.0,-894.0,-170.0,2638.0,,-252.0,-5464.0,6.0,-827.0,-1956.0,-311.0,,-29.0,9395.0,-554.0,2999.0,-31.0,,-40.0,,5573.0,,-45.0,,,,,,,,,-45.0,,3284.0,,-106.0,,,,3177.0,8705.0,,86.0,8791.0
TPB,Q32022,,,4923.0,-1964.0,684.0,145.0,22.0,193.0,-1180.0,,2822.0,,-1257.0,430.0,-95.0,-4717.0,-377.0,414.0,,-32.0,-1566.0,6358.0,-1385.0,7.0,-7.0,-337.0,,257.0,,-78.0,,,,,,,,,-78.0,,,,-40.0,,,,-40.0,139.0,,-82.0,57.0
TPB,Q32023,,,6755.0,-2955.0,666.0,716.0,-128.0,38.0,-1263.0,-103.0,3725.0,,-427.0,5834.0,295.0,-2765.0,-1161.0,358.0,,-2611.0,7890.0,-5373.0,-3058.0,-19.0,128.0,213.0,,3030.0,,-155.0,,,,,,,,,-155.0,,,,-40.0,,,,-40.0,2836.0,,138.0,2974.0
TPB,Q32024,,,6151.0,-3181.0,794.0,-70.0,-23.0,158.0,-1279.0,-100.0,2452.0,,2164.0,-3043.0,,-20774.0,-581.0,1524.0,,-560.0,4515.0,21824.0,-1150.0,5.0,-250.0,-792.0,,5335.0,,-32.0,,,,,,,,,-32.0,,,1478.0,-57.0,-1101.0,,,320.0,5624.0,,420.0,6044.0
TPB,Q42016,,,4754.0,-2648.0,86.0,161.0,-3.0,1.0,-1293.0,-94.0,964.0,,-755.0,-8010.0,-18.0,-19501.0,-35.0,1984.0,,-518.0,11850.0,15577.0,,1212.0,,50.0,,2799.0,,-53.0,,,,,,,,,-53.0,,403.0,,,,-80.0,,323.0,3068.0,19224.0,,22292.0
TPB,Q42017,,,2129.0,-911.0,39.0,83.0,22.0,,-642.0,-30.0,690.0,,1300.0,-861.0,,-6683.0,-907.0,288.0,,-39.0,-6472.0,11395.0,3187.0,426.0,-7.0,-370.0,,1947.0,,-78.0,,,,,,,,,-78.0,,,,,,,,,1869.0,,-10.0,1859.0
TPB,Q42018,,,2615.0,-1355.0,236.0,101.0,-1.0,18.0,-801.0,-10.0,803.0,,-1160.0,-3947.0,,-3546.0,-140.0,915.0,,3299.0,-4519.0,5979.0,2596.0,1179.0,17.0,-116.0,,1361.0,,-149.0,,-1.0,,,,,,,-150.0,,,,-13.0,,,,-13.0,1198.0,101.0,-75.0,1225.0
TPB,Q42019,,,3314.0,-1398.0,416.0,67.0,637.0,22.0,-711.0,-280.0,2067.0,,-1241.0,-4581.0,74.0,-2831.0,-254.0,-927.0,,-29.0,97.0,6843.0,1118.0,11.0,,-303.0,,44.0,,-147.0,,,,,,,,,-146.0,,,267.0,,,,,267.0,165.0,,,165.0
TPB,Q42020,,,4353.0,-1766.0,127.0,428.0,289.0,43.0,-1227.0,-324.0,1923.0,,-799.0,-8042.0,-5.0,-10916.0,-512.0,234.0,,-34.0,-3136.0,7210.0,4387.0,-2.0,,62.0,,-9631.0,,-124.0,,,,,,,,,-124.0,,391.0,3816.0,-42.0,,,,4165.0,-5589.0,,-175.0,-5764.0
TPB,Q42021,,,4956.0,-2188.0,490.0,482.0,21.0,82.0,-1433.0,-709.0,1701.0,,-1956.0,-6045.0,190.0,-7115.0,-385.0,147.0,,-34.0,17016.0,8054.0,5196.0,-231.0,78.0,233.0,,16849.0,,-303.0,,,,,,,,,-303.0,,,,-1320.0,,,,-1320.0,15227.0,,-86.0,15140.0
TPB,Q42022,,,5890.0,-2906.0,816.0,74.0,-11.0,119.0,-1519.0,,2464.0,,-1006.0,2715.0,-108.0,-4159.0,-310.0,-3876.0,,-27.0,-8930.0,32265.0,-7621.0,-255.0,,-65.0,,11087.0,,-82.0,1.0,,,,,,,,-82.0,,,,-1792.0,,,,-1792.0,9214.0,,82.0,9296.0
TPB,Q42023,,,7407.0,-5198.0,114.0,172.0,-207.0,166.0,-1527.0,-21.0,906.0,,-770.0,2655.0,,-24671.0,-1719.0,2736.0,,-27.0,-13408.0,14508.0,6000.0,-8.0,-62.0,-158.0,,-14020.0,,-180.0,,,,,,,,,-180.0,,,6118.0,-71.0,,,,6047.0,-8153.0,,-138.0,-8291.0
TPB,Q42024,,,7234.0,-3843.0,909.0,1068.0,-89.0,226.0,-1619.0,-71.0,3815.0,,4116.0,4410.0,,-10756.0,-1228.0,-698.0,,-929.0,12698.0,17985.0,100.0,7.0,-23.0,34.0,,29531.0,,-145.0,,,,,,,,,-145.0,,,1769.0,-1521.0,,,,248.0,29634.0,,-420.0,29214.0
