stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ
LPB,Q22015,,,1357.0,-797.0,-82.0,2.0,-48.0,,-425.0,,7.0,,-580.0,4203.0,-8.0,-3268.0,1.0,372.0,,-205.0,-3295.0,2017.0,,11.0,-2.0,-33.0,-44.0,-824.0,,-68.0,,,,,,,,,-68.0,,,,,,,,,-892.0,,-1.0,-894.0
LPB,Q22016,,,1759.0,-975.0,-62.0,-18.0,-33.0,,-521.0,-46.0,105.0,,833.0,-1517.0,27.0,-6264.0,2.0,833.0,,-371.0,-4235.0,19235.0,,1.0,,-71.0,-2.0,8576.0,,-97.0,,1.0,,,,,,,-97.0,,,,,,,,,8479.0,,,8479.0
LPB,Q22017,,,77.0,748.0,-2.0,-35.0,-286.0,8.0,-692.0,-137.0,-320.0,,1430.0,787.0,64.0,-3368.0,-53.0,1415.0,,234.0,5712.0,-3376.0,1241.0,8.0,27.0,-717.0,-21.0,3062.0,,-61.0,,,,,,,,,-61.0,,,,,,,,,3002.0,,,3002.0
LPB,Q22018,,,2784.0,-1623.0,33.0,-39.0,-48.0,-1.0,-696.0,-96.0,315.0,,-899.0,2064.0,42.0,-6388.0,-77.0,441.0,,-8.0,-1032.0,1967.0,4245.0,25.0,20.0,276.0,-99.0,891.0,,-111.0,4.0,-5.0,,,,,,,-112.0,,-388.0,,,388.0,,,,778.0,,,778.0
LPB,Q22019,,,3583.0,-2482.0,68.0,38.0,124.0,2.0,-908.0,-101.0,323.0,,-1555.0,2442.0,-7.0,-5452.0,-23.0,510.0,,1225.0,-1535.0,4209.0,3879.0,4.0,,-38.0,-201.0,3780.0,,-89.0,7.0,-4.0,,,,,,,-85.0,,,,,,,,,3695.0,,,3695.0
LPB,Q22020,,,3901.0,-2495.0,107.0,23.0,93.0,18.0,-905.0,-120.0,622.0,,500.0,-1617.0,-80.0,-7812.0,-345.0,-39.0,,-15.0,17107.0,-84.0,-5326.0,-1179.0,,57.0,-189.0,1602.0,,-149.0,4.0,-4.0,,,,,9.0,,-139.0,,,,,,,,,1462.0,,,1462.0
LPB,Q22021,,,4763.0,-1985.0,225.0,51.0,-49.0,31.0,-956.0,,2081.0,,1009.0,-1620.0,82.0,-8489.0,-414.0,209.0,,-16.0,-5908.0,8494.0,6741.0,,,-276.0,-171.0,1722.0,,-165.0,-2.0,2.0,,,,,,,-165.0,,,,,,,,,1557.0,,,1557.0
LPB,Q22022,,,6916.0,-2821.0,290.0,287.0,-169.0,188.0,-1508.0,-359.0,2824.0,,492.0,-681.0,133.0,-20736.0,-243.0,189.0,,-9.0,3184.0,8325.0,-38.0,,-738.0,3523.0,-17.0,-3842.0,,59.0,2.0,-3.0,,,,,,1.0,59.0,,350.0,,,,,,350.0,-3433.0,,,-3433.0
LPB,Q22023,,,7696.0,-4087.0,260.0,80.0,5.0,107.0,-899.0,-313.0,2848.0,,101.0,4526.0,-75.0,-11249.0,,-5922.0,,-653.0,17655.0,-3157.0,-2341.0,,,-26.0,-496.0,1212.0,,-105.0,15.0,-13.0,,,,,,31.0,-73.0,,,,,,,,,1139.0,1.0,,1140.0
LPB,Q22024,,,5866.0,-4807.0,861.0,121.0,94.0,118.0,-1038.0,-578.0,638.0,,-300.0,-8009.0,,-9708.0,-122.0,-107.0,,-996.0,-188.0,26103.0,6347.0,,638.0,-543.0,-242.0,13512.0,,-465.0,,-2.0,,,,-200.0,-18.0,30.0,-655.0,,,,,,,,,12856.0,,,12856.0
LPB,Q32012,,,-2391.0,,,,,,,,-2391.0,,,,,,,,,,,,,,,,,-2391.0,,29.0,,,,,,,,,29.0,,,,,,,,,-2362.0,-1006.0,-3.0,-3371.0
LPB,Q32014,,,-1349.0,890.0,70.0,-7.0,37.0,,332.0,38.0,11.0,,-1345.0,6024.0,-1048.0,-2935.0,-5.0,7256.0,,-3.0,8819.0,-3690.0,,-1646.0,1009.0,223.0,18.0,12689.0,,60.0,-1.0,,,,,-300.0,,,-242.0,,,,,-65.0,,,-65.0,12383.0,-10020.0,-4.0,2359.0
LPB,Q32015,,,1575.0,-780.0,-69.0,33.0,18.0,,-37.0,-13.0,726.0,,1964.0,1470.0,-12.0,-4713.0,43.0,-1202.0,,11.0,2175.0,2036.0,,11.0,11.0,268.0,61.0,2848.0,,-54.0,,,,,,,,,-54.0,,,,,,,,,2794.0,,2.0,2796.0
LPB,Q32016,,,3075.0,-971.0,-35.0,47.0,-31.0,,-107.0,-45.0,1933.0,,-60.0,-245.0,-5.0,-7748.0,-2.0,396.0,,35.0,10513.0,-6754.0,1000.0,4.0,-34.0,1163.0,-1.0,195.0,,-35.0,,,,,,,,,-36.0,,,,,,,,,159.0,,,159.0
LPB,Q32017,,,3195.0,-1501.0,81.0,79.0,-49.0,,-194.0,-33.0,1578.0,,300.0,640.0,,-2263.0,,-221.0,,995.0,-10404.0,14326.0,369.0,2.0,-10.0,-380.0,-7.0,4924.0,,-153.0,,,,,,,,,-153.0,,,,,,,,,4771.0,,,4771.0
LPB,Q32018,,,3572.0,-1706.0,-4.0,9.0,-46.0,,-456.0,-39.0,1329.0,,1739.0,-153.0,-70.0,-670.0,-76.0,-320.0,,-9.0,9805.0,-18774.0,-395.0,20.0,-20.0,-87.0,-2.0,-7682.0,,122.0,,,,,,,,,122.0,,388.0,,,-388.0,,,,-7561.0,,,-7561.0
LPB,Q32019,,,4033.0,-2555.0,108.0,12.0,-6.0,9.0,-739.0,-110.0,751.0,,51.0,1088.0,-14.0,-5533.0,-443.0,-157.0,,-1531.0,-3593.0,2944.0,4977.0,-4.0,,224.0,-8.0,-1247.0,,-58.0,3.0,-1.0,,,,,,,-56.0,,,,,,,,,-1304.0,,,-1304.0
LPB,Q32020,,,3804.0,-2823.0,136.0,53.0,-15.0,24.0,-1379.0,,-199.0,,400.0,1397.0,-29.0,-6826.0,-17.0,525.0,,-17.0,-19791.0,10694.0,6575.0,,,12.0,-1.0,-7278.0,,-8.0,2.0,-2.0,,,,,,,-8.0,,,,,,,,,-7286.0,,,-7286.0
LPB,Q32021,,,5294.0,-3099.0,160.0,,51.0,38.0,-520.0,-222.0,1702.0,,1060.0,-1972.0,-40.0,-4602.0,-4.0,-443.0,,-12.0,7174.0,-7330.0,-1716.0,,,155.0,,-6028.0,,42.0,9.0,-9.0,,,,,,,42.0,,,,,,,,,-5986.0,,,-5986.0
LPB,Q32022,,,5059.0,-3113.0,300.0,36.0,168.0,-116.0,-725.0,,1609.0,,-100.0,-2127.0,,-277.0,-218.0,-1155.0,,-8.0,4979.0,7749.0,-2112.0,,213.0,-2621.0,-12.0,5920.0,,-120.0,1.0,-1.0,,,,,,,-120.0,,2650.0,,,,,,2650.0,8450.0,,,8450.0
LPB,Q32023,,,6336.0,-4572.0,156.0,157.0,1.0,113.0,-1156.0,-172.0,862.0,,,1497.0,365.0,-10226.0,,-14.0,,-6.0,5857.0,4275.0,3174.0,,,94.0,-37.0,5841.0,,-168.0,,,,,,,,,-168.0,,,,,,,,,5673.0,,,5673.0
LPB,Q32024,,,6600.0,-4340.0,1011.0,208.0,-159.0,245.0,-1447.0,-604.0,1514.0,,300.0,-5188.0,-175.0,-2354.0,,-190.0,,1887.0,29214.0,-16795.0,-1522.0,,-1273.0,-1010.0,-21.0,4387.0,,-148.0,20.0,-22.0,,,,,,45.0,-105.0,,,,,,,,,4282.0,,,4282.0
LPB,Q42016,,,2680.0,-1576.0,240.0,67.0,-26.0,,-1043.0,-71.0,273.0,,-685.0,2144.0,14.0,-5616.0,-2.0,3022.0,,15.0,159.0,6932.0,1100.0,11.0,34.0,-975.0,,6425.0,,-84.0,1.0,,,,,,,,-83.0,,,,,,,,,6342.0,,,6342.0
LPB,Q42017,,,3222.0,-1380.0,-33.0,9.0,-135.0,,-1307.0,-80.0,295.0,,-1430.0,1800.0,,-5658.0,-2.0,13.0,,-991.0,9254.0,5831.0,-34.0,-2.0,33.0,1126.0,-7.0,10228.0,,-115.0,2.0,,,,,,,,-113.0,,,,,,,,,10115.0,,,10115.0
LPB,Q42018,,,3643.0,-2052.0,116.0,-32.0,-80.0,7.0,-1059.0,-76.0,466.0,,300.0,-741.0,5.0,-3999.0,-305.0,462.0,,5037.0,4953.0,-2594.0,119.0,-6.0,-49.0,12.0,-9.0,3651.0,,-201.0,2.0,6.0,,,,,,,-194.0,,-388.0,,,388.0,,,,3457.0,,,3457.0
LPB,Q42019,,,4197.0,-1978.0,181.0,31.0,-14.0,23.0,-1316.0,-115.0,1008.0,,258.0,-1567.0,22.0,-5780.0,-154.0,108.0,,-2009.0,1570.0,3850.0,4413.0,-1.0,,-54.0,-1.0,1663.0,,-255.0,-6.0,6.0,,,,,,,-254.0,,,,,,,,,1409.0,,,1409.0
LPB,Q42020,,,4789.0,-2421.0,281.0,18.0,-14.0,77.0,-978.0,-231.0,1520.0,,84.0,3063.0,-2.0,-17472.0,-22.0,379.0,,-22.0,7013.0,19915.0,2855.0,,,-159.0,-5.0,17147.0,,-139.0,-7.0,7.0,,,,,,,-138.0,,,,,,,,,17008.0,,,17008.0
LPB,Q42021,,,6684.0,-2642.0,307.0,32.0,-120.0,30.0,-2062.0,-345.0,1885.0,,-845.0,-3252.0,89.0,-13125.0,-1.0,317.0,,1521.0,27703.0,1434.0,3096.0,,,133.0,-2.0,18954.0,,-203.0,4.0,-3.0,,,,,,,-203.0,,,,,,,,,18750.0,,,18750.0
LPB,Q42022,,,8094.0,-3346.0,839.0,234.0,-252.0,198.0,-2085.0,,3682.0,,-200.0,1893.0,,-7005.0,-952.0,277.0,,2940.0,-10938.0,22351.0,-1690.0,,-245.0,344.0,-4.0,10452.0,,1.0,3.0,-3.0,,,,,,53.0,54.0,,,,,,,,,10506.0,,,10506.0
LPB,Q42023,,,7356.0,-5186.0,2913.0,9.0,-10.0,128.0,-1447.0,,3762.0,,-369.0,-4465.0,70.0,-11808.0,-3056.0,7018.0,,-17.0,195.0,8990.0,1775.0,,76.0,-180.0,-23.0,1968.0,,-54.0,,-9.0,,,,-33.0,,18.0,-77.0,,5000.0,,,,,,5000.0,6891.0,,,6891.0
LPB,Q42024,,,12487.0,-4486.0,514.0,88.0,-84.0,553.0,-2207.0,-571.0,6293.0,,-7328.0,-3990.0,166.0,-11836.0,-1084.0,-706.0,,-709.0,30467.0,11869.0,8136.0,,,805.0,-8.0,32077.0,,-445.0,98.0,25.0,,,,,,,-323.0,,,,,,,,,31754.0,,,31754.0
