CTG,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
TỔNG CỘNG TÀI SẢN,"394,665","414,986","460,838","406,852","405,040"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"27,691","25,653","27,294","10,529",428
II. Tiền gửi và vay các TCTD khác,"46,607","41,426","71,516","51,481","43,735"
1. Tiền gửi của các TCTD khác,"32,844","26,956","55,320","37,273","28,358"
2. Vay các TCTD khác,"13,763","14,470","16,196","14,209","15,377"
III. Tiền gửi của khách hàng,"187,357","223,403","256,012","241,464","252,148"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,0,0,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","45,264","50,172","40,051","37,595","38,726"
VI. Phát hành giấy tờ có giá,"26,262","13,859","11,089","8,467","14,223"
VII. Các khoản nợ khác,"38,713","35,949","26,159","27,096","24,955"
"1. Các khoản lãi, phí phải trả","4,049","3,639","4,837","3,786","3,394"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,"34,199","31,862","20,809","22,701","21,052"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),465,448,513,609,508
TỔNG NỢ PHẢI TRẢ,"371,894","390,463","432,120","376,632","374,214"
VIII. Vốn và các quỹ,"22,564","24,313","28,509","30,006","30,617"
1. Vốn của TCTD,"18,806","18,796","22,174","22,174","26,220"
a. Vốn điều lệ,"16,858","16,858","20,230","20,230","26,218"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,"1,944","1,944","1,944","1,944",2
d. Cổ phiếu quỹ,0,-7,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,4,0,0,0,0
2. Quỹ của TCTD,600,581,"1,484","1,476","1,495"
3. Chênh lệch tỷ giá hối đoái,0,279,298,300,300
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,158","4,657","4,553","6,056","2,602"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,207,210,209,214,208
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"394,665","414,986","460,838","406,852","405,040"
