CTG,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","20,081","19,656","21,141","20,971","22,638"
1. Các khoản phải thu,"10,554","9,636","10,157","9,755","10,077"
"2. Các khoản lãi, phí phải thu","7,362","7,904","8,321","8,398","9,943"
3. Tài sản thuế TNDN hoãn lại,,,0,,
4. Tài sản Có khác,"2,172","2,125","2,673","2,828","2,628"
- Trong đó: Lợi thế thương mại,12,12,11,11,10
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-7,-10,-10,-10,-10
TỔNG CỘNG TÀI SẢN,"443,007","503,606","499,847","522,601","528,609"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,372,"2,785",260,256,233
II. Tiền gửi và vay các TCTD khác,"61,676","97,142","87,413","80,742","76,515"
1. Tiền gửi của các TCTD khác,"23,314","23,240","19,740","15,741","12,847"
2. Vay các TCTD khác,"38,362","73,902","67,673","65,001","63,668"
III. Tiền gửi của khách hàng,"270,634","288,271","302,797","307,699","329,480"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,91,30,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","38,450","32,920","35,220","28,451","31,376"
VI. Phát hành giấy tờ có giá,"13,745","28,669","18,465","28,821","15,517"
VII. Các khoản nợ khác,"24,927","19,969","20,736","28,395","25,170"
"1. Các khoản lãi, phí phải trả","3,835","3,566","4,253","5,113","5,561"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"20,660","15,911","15,951","22,798","19,100"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),433,492,532,484,509
TỔNG NỢ PHẢI TRẢ,"409,805","469,757","464,981","474,394","478,291"
VIII. Vốn và các quỹ,"32,990","33,633","34,647","47,991","50,110"
1. Vốn của TCTD,"26,220","26,220","26,220","44,082","41,633"
a. Vốn điều lệ,"26,218","26,218","26,218","32,661","32,661"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,2,2,2,"8,972","8,972"
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,"2,448",
2. Quỹ của TCTD,"1,495","2,435","2,436",,"2,467"
3. Chênh lệch tỷ giá hối đoái,302,302,302,320,315
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"4,974","4,677","5,689","3,589","5,695"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,212,216,219,216,209
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"443,007","503,606","499,847","522,601","528,609"
