CTG,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
1. Tài sản cố định hữu hình,"3,465","3,321","3,627","3,487","4,662"
a. Nguyên giá TSCĐ,"7,328","7,374","7,891","7,941","9,314"
b. Hao mòn TSCĐ,"-3,864","-4,053","-4,264","-4,454","-4,652"
2. Tài sản cố định thuê tài chính,,,,,0
a. Nguyên giá TSCĐ,,,,,0
b. Hao mòn TSCĐ,,,,,0
3. Tài sản cố định vô hình,"3,616","3,395","3,662","3,661","4,211"
a. Nguyên giá TSCĐ,"4,079","3,891","4,191","4,221","4,852"
b. Hao mòn TSCĐ,-463,-495,-529,-561,-641
X. Bất động sản đầu tư,,,,,0
a. Nguyên giá BĐSĐT,,,,,0
b. Hao mòn BĐSĐT,,,,,0
"XI. Tài sản ""Có"" khác","23,302","25,222","25,104","27,035","25,958"
1. Các khoản phải thu,"10,501","11,437","11,350","11,984","9,878"
"2. Các khoản lãi, phí phải thu","10,034","10,278","10,272","11,712","12,706"
3. Tài sản thuế TNDN hoãn lại,,,,,0
4. Tài sản Có khác,"2,781","3,511","3,486","3,341","3,377"
- Trong đó: Lợi thế thương mại,10,10,9,9,8
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-13,-6,-4,-3,-2
TỔNG CỘNG TÀI SẢN,"576,384","558,784","597,636","620,999","661,132"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,147,348,569,726,"4,731"
II. Tiền gửi và vay các TCTD khác,"80,464","72,339","88,389","93,873","103,770"
1. Tiền gửi của các TCTD khác,"31,865","37,701","47,635","48,609","42,040"
2. Vay các TCTD khác,"48,599","34,638","40,753","45,264","61,730"
III. Tiền gửi của khách hàng,"364,498","354,302","377,690","397,867","424,181"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,22,418,416
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","32,425","32,731","31,391","25,809","32,022"
VI. Phát hành giấy tờ có giá,"16,565","7,589","5,369","5,358","5,294"
VII. Các khoản nợ khác,"27,996","36,066","40,624","42,134","35,479"
"1. Các khoản lãi, phí phải trả","4,362","4,253","4,396","5,184","5,749"
2. Thuế TNDN hoãn lại phải trả,,,,,0
3. Các khoản phải trả và công nợ khác,"23,129","31,312","36,117","36,873","29,662"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),505,500,111,76,68
TỔNG NỢ PHẢI TRẢ,"522,094","503,375","544,054","566,185","605,893"
VIII. Vốn và các quỹ,"54,076","55,192","53,364","54,602","55,013"
1. Vốn của TCTD,"46,206","46,206","46,206","46,206","46,209"
a. Vốn điều lệ,"37,234","37,234","37,234","37,234","37,234"
b. Vốn đầu tư XDCB,,,,,0
c. Thặng dư vốn cổ phần,"8,971","8,971","8,971","8,972","8,975"
d. Cổ phiếu quỹ,,,,,0
e. Cổ phiếu ưu đãi,,,,,0
g. Vốn khác,,,,,0
2. Quỹ của TCTD,"3,348","3,375","3,380","3,380","4,250"
3. Chênh lệch tỷ giá hối đoái,318,317,339,336,338
4. Chênh lệch đánh giá lại tài sản,,,,,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"4,205","5,295","3,440","4,681","4,215"
6. Lợi ích cổ đông không kiểm soát,,,,,0
IX. Lợi ích của cổ đông thiểu số,213,217,218,212,225
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"576,384","558,784","597,636","620,999","661,132"
