CTG,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
TỔNG CỘNG TÀI SẢN,"850,210","900,754","948,699","987,383","1,035,639"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"4,695","4,936","4,808","30,979","25,771"
II. Tiền gửi và vay các TCTD khác,"88,102","67,361","85,152","110,412","119,223"
1. Tiền gửi của các TCTD khác,"44,107","24,613","41,346","64,067","71,549"
2. Vay các TCTD khác,"43,995","42,748","43,806","46,345","47,674"
III. Tiền gửi của khách hàng,"576,365","625,486","654,423","666,328","692,931"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,,0,,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","26,491","7,859","6,713","6,418","6,506"
VI. Phát hành giấy tờ có giá,"20,463","19,986","23,849","23,871","18,303"
VII. Các khoản nợ khác,"74,583","113,825","110,782","90,912","112,586"
"1. Các khoản lãi, phí phải trả","6,725","8,311","9,945","10,764","10,657"
2. Thuế TNDN hoãn lại phải trả,0,,0,,0
3. Các khoản phải trả và công nợ khác,"67,704","105,354","100,597","79,915","101,692"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),154,160,239,233,236
TỔNG NỢ PHẢI TRẢ,"790,698","839,454","885,727","928,919","975,319"
VIII. Vốn và các quỹ,"59,511","61,301","62,972","58,464","60,320"
1. Vốn của TCTD,"46,209","46,209","46,209","46,209","46,209"
a. Vốn điều lệ,"37,234","37,234","37,234","37,234","37,234"
b. Vốn đầu tư XDCB,0,,0,,0
c. Thặng dư vốn cổ phần,"8,975","8,975","8,975","8,975","8,975"
d. Cổ phiếu quỹ,0,,0,,0
e. Cổ phiếu ưu đãi,0,,0,,0
g. Vốn khác,0,,0,,0
2. Quỹ của TCTD,"5,284","5,337","6,362","6,366","6,379"
3. Chênh lệch tỷ giá hối đoái,427,433,479,490,560
4. Chênh lệch đánh giá lại tài sản,0,,0,,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,345","9,070","9,663","5,130","6,898"
6. Lợi ích cổ đông không kiểm soát,247,252,260,268,275
IX. Lợi ích của cổ đông thiểu số,0,,0,,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"850,210","900,754","948,699","987,383","1,035,639"
