CTG,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
"2. Đầu tư vào công ty liên doanh, liên kết","2,880","2,918","2,796","2,783","2,723"
3. Đầu tư dài hạn khác,"1,030","1,029","1,131","1,131","1,121"
4. Dự phòng giảm giá đầu tư dài hạn,-58,-71,-26,-22,-22
IX. Tài sản cố định,"8,642","8,474","8,460","8,666","8,615"
1. Tài sản cố định hữu hình,"4,465","4,299","4,297","4,375","4,344"
a. Nguyên giá TSCĐ,"9,305","9,317","9,503","9,746","9,897"
b. Hao mòn TSCĐ,"-4,840","-5,018","-5,206","-5,371","-5,553"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,"4,177","4,175","4,163","4,291","4,271"
a. Nguyên giá TSCĐ,"4,857","4,894","4,918","5,091","5,108"
b. Hao mòn TSCĐ,-680,-719,-755,-800,-837
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","27,080","26,635","28,147","27,022","28,126"
1. Các khoản phải thu,"11,191","10,935","11,184","10,800","11,492"
"2. Các khoản lãi, phí phải thu","12,482","12,351","13,636","12,864","13,132"
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,"3,408","3,350","3,327","3,361","3,502"
- Trong đó: Lợi thế thương mại,8,7,7,6,6
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-1,-1,-1,-2,-1
TỔNG CỘNG TÀI SẢN,"645,835","685,747","710,692","779,483","791,737"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"1,588","1,925","2,493","13,227","4,046"
II. Tiền gửi và vay các TCTD khác,"77,750","103,808","91,516","99,169","104,462"
1. Tiền gửi của các TCTD khác,"32,630","47,618","34,538","43,399","59,198"
2. Vay các TCTD khác,"45,120","56,190","56,978","55,770","45,264"
III. Tiền gửi của khách hàng,"428,456","449,205","468,835","492,960","503,441"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,927,366,0,118,0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","38,351","40,696","52,347","54,237","55,146"
VI. Phát hành giấy tờ có giá,"5,364","9,905","13,786","20,860","16,215"
VII. Các khoản nợ khác,"36,864","25,247","25,803","42,802","50,409"
"1. Các khoản lãi, phí phải trả","5,398","5,198","5,723","5,971","6,274"
2. Thuế TNDN hoãn lại phải trả,0,0,0,0,0
3. Các khoản phải trả và công nợ khác,"31,393","19,955","19,979","36,711","44,007"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),72,94,101,119,129
TỔNG NỢ PHẢI TRẢ,"589,300","631,151","654,779","723,373","733,720"
VIII. Vốn và các quỹ,"56,535","54,595","55,912","56,110","58,018"
1. Vốn của TCTD,"46,209","46,209","46,209","46,209","46,209"
a. Vốn điều lệ,"37,234","37,234","37,234","37,234","37,234"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,"8,975","8,975","8,975","8,975","8,975"
d. Cổ phiếu quỹ,0,0,0,0,0
e. Cổ phiếu ưu đãi,0,0,0,0,0
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,"4,251","4,256","4,390","5,275","5,275"
3. Chênh lệch tỷ giá hối đoái,361,382,449,442,411
4. Chênh lệch đánh giá lại tài sản,0,0,0,0,0
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"5,486","3,516","4,617","3,942","5,876"
6. Lợi ích cổ đông không kiểm soát,228,232,247,242,247
IX. Lợi ích của cổ đông thiểu số,0,0,0,0,0
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"645,835","685,747","710,692","779,483","791,737"
