SSB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
b. Hao mòn TSCĐ,-532,-554,-574,-596,-603
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,718,707,712,857,879
a. Nguyên giá TSCĐ,956,956,973,"1,130","1,163"
b. Hao mòn TSCĐ,-238,-249,-261,-272,-285
X. Bất động sản đầu tư,57,56,55,55,54
a. Nguyên giá BĐSĐT,64,63,63,64,63
b. Hao mòn BĐSĐT,-8,-8,-8,-8,-9
"XI. Tài sản ""Có"" khác","12,892","13,412","13,692","10,358","7,136"
1. Các khoản phải thu,"6,928","6,747","7,762","4,355","2,203"
"2. Các khoản lãi, phí phải thu","3,405","3,921","3,324","3,452","2,582"
3. Tài sản thuế TNDN hoãn lại,0,,,,
4. Tài sản Có khác,"2,589","2,774","2,635","2,580","2,381"
- Trong đó: Lợi thế thương mại,338,320,303,285,267
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-30,-30,-30,-30,-29
TỔNG CỘNG TÀI SẢN,"266,107","271,614","280,658","288,518","325,699"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"2,539","2,094","2,087","5,478","2,064"
II. Tiền gửi và vay các TCTD khác,"66,698","65,369","80,856","78,113","85,304"
1. Tiền gửi của các TCTD khác,"47,047","38,846","52,002","53,116","55,895"
2. Vay các TCTD khác,"19,651","26,523","28,854","24,998","29,409"
III. Tiền gửi của khách hàng,"144,840","154,372","149,453","153,618","168,320"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,107,106,31,90,304
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",1,1,1,1,1
VI. Phát hành giấy tờ có giá,"16,846","14,234","11,473","13,250","30,450"
VII. Các khoản nợ khác,"4,779","3,872","3,987","4,189","4,253"
"1. Các khoản lãi, phí phải trả","3,743","3,121","2,972","2,510","2,922"
2. Thuế TNDN hoãn lại phải trả,0,,,,
3. Các khoản phải trả và công nợ khác,"1,036",751,"1,015","1,679","1,331"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,,,,
TỔNG NỢ PHẢI TRẢ,"235,810","240,048","247,889","254,740","290,696"
VIII. Vốn và các quỹ,"30,297","31,566","32,769","33,778","35,003"
1. Vốn của TCTD,"25,063","25,063","25,063","28,353","28,353"
a. Vốn điều lệ,"24,957","24,957","24,957","28,350","28,350"
b. Vốn đầu tư XDCB,0,,,,
c. Thặng dư vốn cổ phần,106,106,106,3,3
d. Cổ phiếu quỹ,0,,,,
e. Cổ phiếu ưu đãi,0,,,,
g. Vốn khác,0,,,,
2. Quỹ của TCTD,"1,715","1,715","1,715","1,715","2,666"
3. Chênh lệch tỷ giá hối đoái,67,-1,-4,,
4. Chênh lệch đánh giá lại tài sản,0,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,518","4,720","5,991","3,713","3,983"
6. Lợi ích cổ đông không kiểm soát,0,,,,
IX. Lợi ích của cổ đông thiểu số,0,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"266,107","271,614","280,658","288,518","325,699"
