SSB,Q2/2015,Q3/2016,Q1/2017,Q2/2017,Q3/2017
I. Các khoản nợ Chính phủ và NHNN,197,331,"3,059",801,323
II. Tiền gửi và vay các TCTD khác,"17,710","13,651","20,678","19,858","26,144"
1. Tiền gửi của các TCTD khác,"9,429","9,737","13,128","9,432","13,978"
2. Vay các TCTD khác,"8,281","3,914","7,550","10,425","12,166"
III. Tiền gửi của khách hàng,"45,895","70,213","71,546","76,412","74,416"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,7,24,115,27,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",17,0,0,0,0
VI. Phát hành giấy tờ có giá,"2,900","2,900","2,900","2,900","2,900"
VII. Các khoản nợ khác,938,"1,510","1,371","1,658","1,986"
"1. Các khoản lãi, phí phải trả",659,"1,283","1,249","1,560","1,796"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,279,227,122,98,190
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"67,664","88,629","99,671","101,656","105,769"
VIII. Vốn và các quỹ,"5,777","5,834","5,886","5,918","6,022"
1. Vốn của TCTD,"5,466","5,466","5,466","5,466","5,466"
a. Vốn điều lệ,"5,466","5,466","5,466","5,466","5,466"
b. Vốn đầu tư XDCB,0,0,0,0,0
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,0,0,0,0,0
2. Quỹ của TCTD,142,156,174,174,174
3. Chênh lệch tỷ giá hối đoái,-4,-27,-47,-56,-78
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,173,239,293,334,461
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"73,441","94,463","105,557","107,574","111,791"
