SSB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
I. Các khoản nợ Chính phủ và NHNN,"7,282",264,255,246,239
II. Tiền gửi và vay các TCTD khác,"29,249","33,684","35,156","33,145","31,470"
1. Tiền gửi của các TCTD khác,"20,336","19,625","21,482","20,614","21,275"
2. Vay các TCTD khác,"8,913","14,059","13,674","12,532","10,195"
III. Tiền gửi của khách hàng,"84,345","87,265","89,781","90,760","95,727"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,70,66,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",1,1,1,1,
VI. Phát hành giấy tờ có giá,"8,105","8,735","12,357","15,335","15,679"
VII. Các khoản nợ khác,"3,134","2,866","2,896","3,103","3,357"
"1. Các khoản lãi, phí phải trả","2,767","2,717","2,632","2,845","3,019"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,367,149,264,259,337
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"132,186","132,881","140,446","142,590","146,472"
VIII. Vốn và các quỹ,"8,302","8,417","8,641","10,390","10,926"
1. Vốn của TCTD,"7,688","7,688","7,688","9,369","9,369"
a. Vốn điều lệ,"7,688","7,688","7,688","9,369","9,369"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,195,195,195,63,232
3. Chênh lệch tỷ giá hối đoái,-35,-21,-28,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,419,569,780,986,"1,325"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"140,487","141,298","149,087","152,980","157,398"
