SSB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
II. Tiền gửi và vay các TCTD khác,"52,063","57,778","58,366","77,452","63,121"
1. Tiền gửi của các TCTD khác,"39,566","41,139","35,553","57,260","47,365"
2. Vay các TCTD khác,"12,497","16,639","22,813","20,192","15,756"
III. Tiền gửi của khách hàng,"107,984","110,441","109,785","106,117","116,729"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,28,48,310,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",1,1,1,1,1
VI. Phát hành giấy tờ có giá,"8,180","8,329","19,053","18,809","19,822"
VII. Các khoản nợ khác,"3,610","3,767","3,575","3,749","4,337"
"1. Các khoản lãi, phí phải trả","3,006","2,868","2,948","2,947","3,505"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,603,900,627,803,832
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"172,055","181,595","193,000","208,631","206,166"
VIII. Vốn và các quỹ,"14,879","16,035","18,663","22,591","23,557"
1. Vốn của TCTD,"12,087","13,556","15,596","18,315","20,716"
a. Vốn điều lệ,"12,087","13,425","14,785","16,598","19,809"
b. Vốn đầu tư XDCB,0,0,,,
c. Thặng dư vốn cổ phần,0,131,811,"1,717",907
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,0,,,
2. Quỹ của TCTD,456,456,856,856,569
3. Chênh lệch tỷ giá hối đoái,-10,3,0,159,18
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"2,346","2,020","2,212","3,261","2,254"
6. Lợi ích cổ đông không kiểm soát,0,0,,,
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"186,934","197,629","211,664","231,222","229,723"
