SSB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
"XI. Tài sản ""Có"" khác","8,922","10,128","12,997","13,922","14,497"
1. Các khoản phải thu,"3,035","5,490","6,196","7,425","7,224"
"2. Các khoản lãi, phí phải thu","3,324","2,594","4,088","3,473","4,445"
3. Tài sản thuế TNDN hoãn lại,0,0,,,
4. Tài sản Có khác,"2,603","2,084","2,754","3,064","2,868"
- Trong đó: Lợi thế thương mại,427,409,392,374,356
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-40,-40,-40,-40,-40
TỔNG CỘNG TÀI SẢN,"229,146","231,423","245,169","245,206","248,810"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"2,148","3,839","2,132","2,126","2,119"
II. Tiền gửi và vay các TCTD khác,"60,673","59,720","68,338","65,790","48,843"
1. Tiền gửi của các TCTD khác,"52,313","44,266","47,960","45,395","28,697"
2. Vay các TCTD khác,"8,361","15,454","20,378","20,394","20,146"
III. Tiền gửi của khách hàng,"113,345","115,547","117,695","123,233","140,963"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,15,348,203,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",1,1,1,1,1
VI. Phát hành giấy tờ có giá,"22,737","21,505","24,764","21,555","22,947"
VII. Các khoản nợ khác,"5,621","4,565","4,804","4,779","5,106"
"1. Các khoản lãi, phí phải trả","3,726","3,700","4,228","4,121","4,426"
2. Thuế TNDN hoãn lại phải trả,0,0,,,
3. Các khoản phải trả và công nợ khác,"1,895",865,576,658,680
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),0,0,,,
TỔNG NỢ PHẢI TRẢ,"204,526","205,191","218,083","217,484","220,182"
VIII. Vốn và các quỹ,"24,620","26,232","27,086","27,722","28,628"
1. Vốn của TCTD,"20,716","21,607","21,607","21,607","24,559"
a. Vốn điều lệ,"19,809","20,403","20,403","20,403","24,537"
b. Vốn đầu tư XDCB,0,0,,,
c. Thặng dư vốn cổ phần,907,"1,204","1,204","1,204",22
d. Cổ phiếu quỹ,0,0,,,
e. Cổ phiếu ưu đãi,0,0,,,
g. Vốn khác,0,0,,,
2. Quỹ của TCTD,569,"1,156","1,156","1,156","1,156"
3. Chênh lệch tỷ giá hối đoái,116,0,-1,-4,
4. Chênh lệch đánh giá lại tài sản,0,0,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,219","3,469","4,323","4,960","2,916"
6. Lợi ích cổ đông không kiểm soát,0,0,,,
IX. Lợi ích của cổ đông thiểu số,0,0,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"229,146","231,423","245,169","245,206","248,810"
