ACB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
b. Hao mòn BĐSĐT,-1,-2,-2,-2,-2
"XI. Tài sản ""Có"" khác","7,799","8,182","7,079","6,285","6,770"
1. Các khoản phải thu,"5,046","5,378","5,308","4,531","4,479"
"2. Các khoản lãi, phí phải thu","3,179","3,568","2,687","2,367","2,901"
3. Tài sản thuế TNDN hoãn lại,12,18,20,20,20
4. Tài sản Có khác,753,691,675,634,667
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-1,191","-1,472","-1,610","-1,268","-1,296"
TỔNG CỘNG TÀI SẢN,"270,265","284,316","299,855","309,968","312,778"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,,,,,
II. Tiền gửi và vay các TCTD khác,"9,216","15,454","14,178","14,575","15,165"
1. Tiền gửi của các TCTD khác,"5,466","12,130","10,915","10,590","11,469"
2. Vay các TCTD khác,"3,750","3,323","3,262","3,984","3,696"
III. Tiền gửi của khách hàng,"234,030","241,393","258,253","267,801","267,975"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,10,26,31,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",130,136,139,136,161
VI. Phát hành giấy tờ có giá,"6,552","6,761","4,019","3,635","3,980"
VII. Các khoản nợ khác,"4,912","4,531","6,090","5,476","5,947"
"1. Các khoản lãi, phí phải trả","2,928","2,816","2,975","2,975","3,231"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"1,984","1,715","3,114","2,502","2,716"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"254,841","268,285","282,678","291,649","293,259"
VIII. Vốn và các quỹ,"15,423","16,031","17,177","18,319","19,519"
1. Vốn của TCTD,"9,608","9,608","9,608","10,593","10,593"
a. Vốn điều lệ,"10,273","10,273","10,273","11,259","11,259"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,-666,-666,-666,-666,-666
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"2,584","2,914","2,914","2,914","2,914"
3. Chênh lệch tỷ giá hối đoái,-16,2,-24,-134,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"3,248","3,510","4,654","4,836","6,145"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"270,265","284,316","299,855","309,968","312,778"
