ACB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
I. Các khoản nợ Chính phủ và NHNN,1,,,,
II. Tiền gửi và vay các TCTD khác,"27,086","20,324","54,394","44,323","50,713"
1. Tiền gửi của các TCTD khác,"23,163","15,591","41,381","33,739","47,406"
2. Vay các TCTD khác,"3,923","4,733","13,013","10,585","3,306"
III. Tiền gửi của khách hàng,"358,474","365,770","379,921","386,051","388,132"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",101,94,86,79,71
VI. Phát hành giấy tờ có giá,"27,455","32,470","30,548","30,950","34,851"
VII. Các khoản nợ khác,"17,779","18,167","17,920","19,030","17,904"
"1. Các khoản lãi, phí phải trả","4,336","4,657","4,638","5,153","4,660"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"13,443","13,510","13,283","13,877","13,244"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"430,895","436,825","482,869","480,433","491,671"
VIII. Vốn và các quỹ,"40,380","42,483","44,901","48,203","52,066"
1. Vốn của TCTD,"21,887","27,291","27,291","27,291","27,291"
a. Vốn điều lệ,"21,616","27,019","27,019","27,019","27,019"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,272,272,272,272,272
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"5,742","5,742","7,164","7,164","7,164"
3. Chênh lệch tỷ giá hối đoái,10,11,15,84,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"12,740","9,439","10,445","13,733","17,526"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"471,275","479,309","527,770","528,636","543,737"
