ACB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
a. Nguyên giá TSCĐ,"6,257","6,281","6,230","6,280","6,504"
b. Hao mòn TSCĐ,"-2,939","-3,047","-3,111","-3,196","-3,282"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"1,445","1,437","1,546","1,559","2,190"
a. Nguyên giá TSCĐ,"2,102","2,115","2,247","2,285","2,950"
b. Hao mòn TSCĐ,-657,-679,-701,-726,-760
X. Bất động sản đầu tư,177,177,177,177,177
a. Nguyên giá BĐSĐT,177,177,177,177,177
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","10,552","10,320","9,901","9,749","10,519"
1. Các khoản phải thu,"5,317","4,811","4,776","4,663","4,300"
"2. Các khoản lãi, phí phải thu","4,283","4,232","3,952","3,927","4,954"
3. Tài sản thuế TNDN hoãn lại,34,114,59,57,17
4. Tài sản Có khác,"1,117","1,362","1,258","1,301","1,426"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-199,-199,-145,-199,-178
TỔNG CỘNG TÀI SẢN,"718,795","727,298","769,679","777,393","864,006"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,67,16,19,"7,955"
II. Tiền gửi và vay các TCTD khác,"89,507","89,359","93,761","73,520","111,592"
1. Tiền gửi của các TCTD khác,"80,719","79,379","77,935","59,589","91,574"
2. Vay các TCTD khác,"8,787","9,980","15,825","13,931","20,018"
III. Tiền gửi của khách hàng,"482,703","492,804","511,696","512,124","537,305"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,117,518,62,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",42,37,33,32,28
VI. Phát hành giấy tờ có giá,"52,410","49,012","66,953","90,366","101,650"
VII. Các khoản nợ khác,"23,060","20,710","22,365","22,478","22,014"
"1. Các khoản lãi, phí phải trả","7,682","6,417","6,373","6,410","7,045"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"15,378","14,293","15,992","16,069","14,969"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"647,839","652,507","694,886","698,539","780,544"
VIII. Vốn và các quỹ,"70,956","74,791","74,793","78,854","83,462"
1. Vốn của TCTD,"39,112","39,112","44,938","44,938","44,938"
a. Vốn điều lệ,"38,841","38,841","44,667","44,667","44,667"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,272,272,272,272,272
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"11,557","11,557","11,557","11,557","14,790"
3. Chênh lệch tỷ giá hối đoái,-71,-253,-62,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"20,286","24,192","18,550","22,421","23,734"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"718,795","727,298","769,679","777,393","864,006"
