ACB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
a. Nguyên giá BĐSĐT,177,177,177,177,177
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","10,924","9,858","11,291","9,663","9,771"
1. Các khoản phải thu,"6,926","4,757","5,784","4,411","4,726"
"2. Các khoản lãi, phí phải thu","3,078","4,090","4,420","4,304","4,005"
3. Tài sản thuế TNDN hoãn lại,112,64,152,97,96
4. Tài sản Có khác,987,"1,143","1,131","1,048","1,142"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-179,-196,-196,-197,-197
TỔNG CỘNG TÀI SẢN,"561,114","607,875","611,224","630,893","648,510"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,0,506,6,3,19
II. Tiền gửi và vay các TCTD khác,"51,830","67,841","52,857","68,957","64,120"
1. Tiền gửi của các TCTD khác,"45,532","60,003","49,414","65,532","57,302"
2. Vay các TCTD khác,"6,298","7,838","3,443","3,426","6,817"
III. Tiền gửi của khách hàng,"392,024","413,953","422,755","432,410","445,500"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",65,60,56,49,45
VI. Phát hành giấy tờ có giá,"40,053","44,304","50,156","44,658","48,859"
VII. Các khoản nợ khác,"21,408","22,772","22,863","21,948","23,143"
"1. Các khoản lãi, phí phải trả","4,933","5,564","7,582","8,292","8,574"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"16,474","17,208","15,281","13,657","14,569"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"505,379","549,437","548,693","568,026","581,685"
VIII. Vốn và các quỹ,"55,735","58,439","62,530","62,867","66,825"
1. Vốn của TCTD,"34,046","34,046","34,046","39,112","39,112"
a. Vốn điều lệ,"33,774","33,774","33,774","38,841","38,841"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,272,272,272,272,272
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"7,164","9,220","9,220","9,220","9,220"
3. Chênh lệch tỷ giá hối đoái,166,-44,-45,-124,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"14,358","15,172","19,307","14,580","18,617"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"561,114","607,875","611,224","630,893","648,510"
