ACB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
a. Nguyên giá TSCĐ,"4,415","4,466","4,486","4,618","4,737"
b. Hao mòn TSCĐ,"-1,774","-1,837","-1,899","-1,956","-2,016"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,593,592,729,829,"1,049"
a. Nguyên giá TSCĐ,895,907,"1,058","1,173","1,409"
b. Hao mòn TSCĐ,-302,-316,-329,-345,-360
X. Bất động sản đầu tư,247,223,223,223,362
a. Nguyên giá BĐSĐT,250,226,226,226,365
b. Hao mòn BĐSĐT,-2,-2,-2,-3,-3
"XI. Tài sản ""Có"" khác","7,573","7,003","6,373","6,778","6,891"
1. Các khoản phải thu,"4,394","4,765","4,463","4,227","3,740"
"2. Các khoản lãi, phí phải thu","3,457","2,692","2,591","3,043","3,676"
3. Tài sản thuế TNDN hoãn lại,66,96,79,90,23
4. Tài sản Có khác,982,939,893,"1,046","1,055"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,"-1,325","-1,490","-1,652","-1,628","-1,603"
TỔNG CỘNG TÀI SẢN,"329,333","335,803","350,938","358,175","383,514"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,"3,074",795,,,
II. Tiền gửi và vay các TCTD khác,"20,718","23,564","11,844","8,628","19,249"
1. Tiền gửi của các TCTD khác,"17,174","20,417","11,315","7,671","16,674"
2. Vay các TCTD khác,"3,545","3,147",529,957,"2,575"
III. Tiền gửi của khách hàng,"269,999","275,070","291,280","298,007","308,129"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,38,,,,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",160,152,149,149,156
VI. Phát hành giấy tờ có giá,"8,291","7,961","16,139","18,536","20,831"
VII. Các khoản nợ khác,"6,035","6,672","6,897","7,490","7,397"
"1. Các khoản lãi, phí phải trả","3,409","3,576","3,755","4,360","4,363"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"2,626","3,095","3,142","3,130","3,034"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"308,315","313,419","327,104","332,811","355,762"
VIII. Vốn và các quỹ,"21,018","22,383","23,834","25,364","27,753"
1. Vốn của TCTD,"12,220","12,220","12,220","15,962","16,799"
a. Vốn điều lệ,"12,886","12,886","12,886","16,627","16,627"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,272,,,,
d. Cổ phiếu quỹ,-666,-666,-666,-666,-100
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"3,693","3,693","3,693","3,693","4,613"
3. Chênh lệch tỷ giá hối đoái,0,17,-1,,
4. Chênh lệch đánh giá lại tài sản,,,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"5,105","6,471","7,903","5,711","6,340"
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"329,333","335,803","350,938","358,175","383,514"
